Date : 2026-04-13 19:56:05
Directory : c:\Users\gonca\Desktop\Gofish-Web
Total : 659 files,  49473 codes, 4942 comments, 8271 blanks, all 62686 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript         |        197 |     10,904 |      2,830 |      2,311 |     16,045 |
| PostCSS            |        110 |     10,768 |        751 |      2,312 |     13,831 |
| JSON               |         12 |      9,753 |          4 |          9 |      9,766 |
| C#                 |        116 |      9,389 |        663 |      2,245 |     12,297 |
| HTML               |        109 |      5,767 |        677 |      1,005 |      7,449 |
| XML                |         82 |      1,062 |          0 |         46 |      1,108 |
| Markdown           |          6 |        786 |          0 |         50 |        836 |
| Python             |         14 |        533 |          2 |        192 |        727 |
| JavaScript         |          7 |        265 |          5 |         53 |        323 |
| YAML               |          5 |        216 |          8 |         47 |        271 |
| JSON with Comments |          1 |         30 |          2 |          1 |         33 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                           | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                              |        659 |     49,473 |      4,942 |      8,271 |     62,686 |
| . (Files)                                                                                                                                                                      |          1 |          1 |          0 |          0 |          1 |
| .github                                                                                                                                                                        |          5 |        216 |          8 |         47 |        271 |
| .github\workflows                                                                                                                                                              |          5 |        216 |          8 |         47 |        271 |
| angular                                                                                                                                                                        |        523 |     39,391 |      4,266 |      5,908 |     49,565 |
| angular (Files)                                                                                                                                                                |          8 |      9,684 |          6 |         31 |      9,721 |
| angular\.VSCodeCounter                                                                                                                                                         |          5 |        750 |          0 |         26 |        776 |
| angular\.VSCodeCounter\2026-04-13_19-55-33                                                                                                                                     |          5 |        750 |          0 |         26 |        776 |
| angular\e2e                                                                                                                                                                    |         14 |        533 |          2 |        192 |        727 |
| angular\e2e (Files)                                                                                                                                                            |          2 |         50 |          1 |         22 |         73 |
| angular\e2e\pages                                                                                                                                                              |          4 |        322 |          1 |         86 |        409 |
| angular\e2e\tests                                                                                                                                                              |          8 |        161 |          0 |         84 |        245 |
| angular\public                                                                                                                                                                 |         80 |        985 |          0 |         31 |      1,016 |
| angular\public\assets                                                                                                                                                          |         80 |        985 |          0 |         31 |      1,016 |
| angular\public\assets\images                                                                                                                                                   |         31 |         93 |          0 |          0 |         93 |
| angular\public\assets\images\enum-images                                                                                                                                       |         31 |         93 |          0 |          0 |         93 |
| angular\public\assets\images\enum-images\catch-images                                                                                                                          |         31 |         93 |          0 |          0 |         93 |
| angular\public\assets\images\enum-images\catch-images\bait                                                                                                                     |          9 |         27 |          0 |          0 |         27 |
| angular\public\assets\images\enum-images\catch-images\species                                                                                                                  |         22 |         66 |          0 |          0 |         66 |
| angular\public\assets\vectors                                                                                                                                                  |         49 |        892 |          0 |         31 |        923 |
